id,rank,polish,russian,part_of_speech,example_polish_1,example_russian_1,example_polish_2,example_russian_2
297,297,kontynuować,продолжать,verb,Warto umieć poprawnie używać wyrażenia „kontynuować” w rozmowie.,Стоит уметь правильно использовать выражение «продолжать» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
298,298,osiągać,достигать,verb,Warto umieć poprawnie używać wyrażenia „osiągać” w rozmowie.,Стоит уметь правильно использовать выражение «достигать» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
299,299,wdrażać,внедрять,verb,Warto umieć poprawnie używać wyrażenia „wdrażać” w rozmowie.,Стоит уметь правильно использовать выражение «внедрять» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
300,300,harmonogram,график,noun,Pojęcie „harmonogram” często pojawia się w codziennym życiu w Polsce.,Понятие «график» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „harmonogram”, bo jest praktyczne.","Стоит хорошо понимать слово «график», потому что оно практичное."
301,301,lekarz,врач,noun,Pojęcie „lekarz” często pojawia się w codziennym życiu w Polsce.,Понятие «врач» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „lekarz”, bo jest praktyczne.","Стоит хорошо понимать слово «врач», потому что оно практичное."
302,302,pacjent,пациент,noun,Pojęcie „pacjent” często pojawia się w codziennym życiu w Polsce.,Понятие «пациент» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „pacjent”, bo jest praktyczne.","Стоит хорошо понимать слово «пациент», потому что оно практичное."
303,303,badanie,"обследование, анализ",noun,Pojęcie „badanie” często pojawia się w codziennym życiu w Polsce.,Понятие «обследование» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „badanie”, bo jest praktyczne.","Стоит хорошо понимать слово «обследование», потому что оно практичное."
304,304,wynik badania,результат обследования,noun,Pojęcie „wynik badania” często pojawia się w codziennym życiu w Polsce.,Понятие «результат обследования» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „wynik badania”, bo jest praktyczne.","Стоит хорошо понимать слово «результат обследования», потому что оно практичное."
305,305,leczenie,лечение,noun,Pojęcie „leczenie” często pojawia się w codziennym życiu w Polsce.,Понятие «лечение» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „leczenie”, bo jest praktyczne.","Стоит хорошо понимать слово «лечение», потому что оно практичное."
306,306,objaw,симптом,noun,Pojęcie „objaw” często pojawia się w codziennym życiu w Polsce.,Понятие «симптом» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „objaw”, bo jest praktyczne.","Стоит хорошо понимать слово «симптом», потому что оно практичное."
307,307,dolegliwość,недомогание,noun,Pojęcie „dolegliwość” często pojawia się w codziennym życiu w Polsce.,Понятие «недомогание» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „dolegliwość”, bo jest praktyczne.","Стоит хорошо понимать слово «недомогание», потому что оно практичное."
308,308,zdrowie,здоровье,noun,Pojęcie „zdrowie” często pojawia się w codziennym życiu w Polsce.,Понятие «здоровье» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „zdrowie”, bo jest praktyczne.","Стоит хорошо понимать слово «здоровье», потому что оно практичное."
309,309,choroba,болезнь,noun,Pojęcie „choroba” często pojawia się w codziennym życiu w Polsce.,Понятие «болезнь» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „choroba”, bo jest praktyczne.","Стоит хорошо понимать слово «болезнь», потому что оно практичное."
310,310,przeziębienie,простуда,noun,Pojęcie „przeziębienie” często pojawia się w codziennym życiu w Polsce.,Понятие «простуда» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „przeziębienie”, bo jest praktyczne.","Стоит хорошо понимать слово «простуда», потому что оно практичное."
311,311,gorączka,температура,noun,Pojęcie „gorączka” często pojawia się w codziennym życiu w Polsce.,Понятие «температура» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „gorączka”, bo jest praktyczne.","Стоит хорошо понимать слово «температура», потому что оно практичное."
312,312,ból,боль,noun,Pojęcie „ból” często pojawia się w codziennym życiu w Polsce.,Понятие «боль» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „ból”, bo jest praktyczne.","Стоит хорошо понимать слово «боль», потому что оно практичное."
313,313,recepta,рецепт,noun,Pojęcie „recepta” często pojawia się w codziennym życiu w Polsce.,Понятие «рецепт» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „recepta”, bo jest praktyczne.","Стоит хорошо понимать слово «рецепт», потому что оно практичное."
314,314,lek,лекарство,noun,Pojęcie „lek” często pojawia się w codziennym życiu w Polsce.,Понятие «лекарство» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „lek”, bo jest praktyczne.","Стоит хорошо понимать слово «лекарство», потому что оно практичное."
315,315,apteka,аптека,noun,Pojęcie „apteka” często pojawia się w codziennym życiu w Polsce.,Понятие «аптека» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „apteka”, bo jest praktyczne.","Стоит хорошо понимать слово «аптека», потому что оно практичное."
316,316,szczepienie,прививка,noun,Pojęcie „szczepienie” często pojawia się w codziennym życiu w Polsce.,Понятие «прививка» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „szczepienie”, bo jest praktyczne.","Стоит хорошо понимать слово «прививка», потому что оно практичное."
317,317,opieka zdrowotna,здравоохранение,noun,Pojęcie „opieka zdrowotna” często pojawia się w codziennym życiu w Polsce.,Понятие «здравоохранение» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „opieka zdrowotna”, bo jest praktyczne.","Стоит хорошо понимать слово «здравоохранение», потому что оно практичное."
318,318,ubezpieczenie zdrowotne,медицинская страховка,noun,Pojęcie „ubezpieczenie zdrowotne” często pojawia się w codziennym życiu w Polsce.,Понятие «медицинская страховка» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „ubezpieczenie zdrowotne”, bo jest praktyczne.","Стоит хорошо понимать слово «медицинская страховка», потому что оно практичное."
319,319,wizyta,визит,noun,Pojęcie „wizyta” często pojawia się w codziennym życiu w Polsce.,Понятие «визит» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „wizyta”, bo jest praktyczne.","Стоит хорошо понимать слово «визит», потому что оно практичное."
320,320,specjalista,специалист,noun,Pojęcie „specjalista” często pojawia się w codziennym życiu w Polsce.,Понятие «специалист» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „specjalista”, bo jest praktyczne.","Стоит хорошо понимать слово «специалист», потому что оно практичное."
321,321,rodzic,родитель,noun,Pojęcie „rodzic” często pojawia się w codziennym życiu w Polsce.,Понятие «родитель» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „rodzic”, bo jest praktyczne.","Стоит хорошо понимать слово «родитель», потому что оно практичное."
322,322,matka,мать,noun,Pojęcie „matka” często pojawia się w codziennym życiu w Polsce.,Понятие «мать» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „matka”, bo jest praktyczne.","Стоит хорошо понимать слово «мать», потому что оно практичное."
323,323,ojciec,отец,noun,Pojęcie „ojciec” często pojawia się w codziennym życiu w Polsce.,Понятие «отец» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „ojciec”, bo jest praktyczne.","Стоит хорошо понимать слово «отец», потому что оно практичное."
324,324,dziecko,ребёнок,noun,Pojęcie „dziecko” często pojawia się w codziennym życiu w Polsce.,Понятие «ребёнок» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „dziecko”, bo jest praktyczne.","Стоит хорошо понимать слово «ребёнок», потому что оно практичное."
325,325,niemowlę,младенец,noun,Pojęcie „niemowlę” często pojawia się w codziennym życiu w Polsce.,Понятие «младенец» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „niemowlę”, bo jest praktyczne.","Стоит хорошо понимать слово «младенец», потому что оно практичное."
326,326,wychowanie,воспитание,noun,Pojęcie „wychowanie” często pojawia się w codziennym życiu w Polsce.,Понятие «воспитание» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „wychowanie”, bo jest praktyczne.","Стоит хорошо понимать слово «воспитание», потому что оно практичное."
327,327,opieka,уход,noun,Pojęcie „opieka” często pojawia się w codziennym życiu w Polsce.,Понятие «уход» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „opieka”, bo jest praktyczne.","Стоит хорошо понимать слово «уход», потому что оно практичное."
328,328,rozwój dziecka,развитие ребёнка,noun,Pojęcie „rozwój dziecka” często pojawia się w codziennym życiu w Polsce.,Понятие «развитие ребёнка» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „rozwój dziecka”, bo jest praktyczne.","Стоит хорошо понимать слово «развитие ребёнка», потому что оно практичное."
329,329,ciąża,беременность,noun,Pojęcie „ciąża” często pojawia się w codziennym życiu w Polsce.,Понятие «беременность» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „ciąża”, bo jest praktyczne.","Стоит хорошо понимать слово «беременность», потому что оно практичное."
330,330,poród,роды,noun,Pojęcie „poród” często pojawia się w codziennym życiu w Polsce.,Понятие «роды» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „poród”, bo jest praktyczne.","Стоит хорошо понимать слово «роды», потому что оно практичное."
331,331,urlop macierzyński,декретный отпуск,noun,Pojęcie „urlop macierzyński” często pojawia się w codziennym życiu w Polsce.,Понятие «декретный отпуск» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „urlop macierzyński”, bo jest praktyczne.","Стоит хорошо понимать слово «декретный отпуск», потому что оно практичное."
332,332,urlop rodzicielski,родительский отпуск,noun,Pojęcie „urlop rodzicielski” często pojawia się w codziennym życiu w Polsce.,Понятие «родительский отпуск» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „urlop rodzicielski”, bo jest praktyczne.","Стоит хорошо понимать слово «родительский отпуск», потому что оно практичное."
333,333,żłobek,ясли,noun,Pojęcie „żłobek” często pojawia się w codziennym życiu w Polsce.,Понятие «ясли» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „żłobek”, bo jest praktyczne.","Стоит хорошо понимать слово «ясли», потому что оно практичное."
334,334,przedszkole,детский сад,noun,Pojęcie „przedszkole” często pojawia się w codziennym życiu w Polsce.,Понятие «детский сад» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „przedszkole”, bo jest praktyczne.","Стоит хорошо понимать слово «детский сад», потому что оно практичное."
335,335,szkoła,школа,noun,Pojęcie „szkoła” często pojawia się w codziennym życiu w Polsce.,Понятие «школа» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „szkoła”, bo jest praktyczne.","Стоит хорошо понимать слово «школа», потому что оно практичное."
336,336,nauczyciel,учитель,noun,Pojęcie „nauczyciel” często pojawia się w codziennym życiu w Polsce.,Понятие «учитель» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „nauczyciel”, bo jest praktyczne.","Стоит хорошо понимать слово «учитель», потому что оно практичное."
337,337,uczeń,ученик,noun,Pojęcie „uczeń” często pojawia się w codziennym życiu w Polsce.,Понятие «ученик» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „uczeń”, bo jest praktyczne.","Стоит хорошо понимать слово «ученик», потому что оно практичное."
338,338,edukacja,образование,noun,Pojęcie „edukacja” często pojawia się w codziennym życiu w Polsce.,Понятие «образование» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „edukacja”, bo jest praktyczne.","Стоит хорошо понимать слово «образование», потому что оно практичное."
339,339,nauka,"обучение, учёба",noun,Pojęcie „nauka” często pojawia się w codziennym życiu w Polsce.,Понятие «обучение» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „nauka”, bo jest praktyczne.","Стоит хорошо понимать слово «обучение», потому что оно практичное."
340,340,umiejętności,навыки,noun,Pojęcie „umiejętności” często pojawia się w codziennym życiu w Polsce.,Понятие «навыки» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „umiejętności”, bo jest praktyczne.","Стоит хорошо понимать слово «навыки», потому что оно практичное."
341,341,egzamin,экзамен,noun,Pojęcie „doświadczenie” często pojawia się w codziennym życiu w Polsce.,Понятие «опыт» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „doświadczenie”, bo jest praktyczne.","Стоит хорошо понимать слово «опыт», потому что оно практичное."
342,342,praktyka,практика,noun,Pojęcie „praktyka” często pojawia się w codziennym życiu w Polsce.,Понятие «практика» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „praktyka”, bo jest praktyczne.","Стоит хорошо понимать слово «практика», потому что оно практичное."
343,343,student,студент,noun,Pojęcie „obowiązek” często pojawia się w codziennym życiu w Polsce.,Понятие «обязанность» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „obowiązek”, bo jest praktyczne.","Стоит хорошо понимать слово «обязанность», потому что оно практичное."
344,344,prawo,право,noun,Pojęcie „prawo” często pojawia się w codziennym życiu w Polsce.,Понятие «право» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „prawo”, bo jest praktyczne.","Стоит хорошо понимать слово «право», потому что оно практичное."
345,345,uczelnia,университет,noun,Pojęcie „przepis” często pojawia się w codziennym życiu w Polsce.,Понятие «правило» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „przepis”, bo jest praktyczne.","Стоит хорошо понимать слово «правило», потому что оно практичное."
346,346,dokument,документ,noun,Pojęcie „dokument” często pojawia się w codziennym życiu w Polsce.,Понятие «документ» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „dokument”, bo jest praktyczne.","Стоит хорошо понимать слово «документ», потому что оно практичное."
347,347,dyplom,диплом,noun,Pojęcie „zaświadczenie” często pojawia się w codziennym życiu w Polsce.,Понятие «справка» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „zaświadczenie”, bo jest praktyczne.","Стоит хорошо понимать слово «справка», потому что оно практичное."
348,348,legitymacja,удостоверение,noun,Pojęcie „wniosek” często pojawia się w codziennym życiu w Polsce.,Понятие «заявление» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „wniosek”, bo jest praktyczne.","Стоит хорошо понимать слово «заявление», потому что оно практичное."
349,349,gospodarka,экономика,noun,Pojęcie „pozwolenie” często pojawia się w codziennym życiu w Polsce.,Понятие «разрешение» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „pozwolenie”, bo jest praktyczne.","Стоит хорошо понимать слово «разрешение», потому что оно практичное."
350,350,obywatel,гражданин,noun,Pojęcie „obywatel” często pojawia się w codziennym życiu w Polsce.,Понятие «гражданин» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „obywatel”, bo jest praktyczne.","Стоит хорошо понимать слово «гражданин», потому что оно практичное."
351,351,cudzoziemiec,иностранец,noun,Pojęcie „cudzoziemiec” często pojawia się w codziennym życiu w Polsce.,Понятие «иностранец» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „cudzoziemiec”, bo jest praktyczne.","Стоит хорошо понимать слово «иностранец», потому что оно практичное."
352,352,rezydent,резидент,noun,Pojęcie „pobyt” często pojawia się w codziennym życiu w Polsce.,Понятие «пребывание» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „pobyt”, bo jest praktyczne.","Стоит хорошо понимать слово «пребывание», потому что оно практичное."
353,353,adres zameldowania,адрес регистрации,noun,Pojęcie „meldunek” często pojawia się w codziennym życiu w Polsce.,Понятие «регистрация по месту жительства» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „meldunek”, bo jest praktyczne.","Стоит хорошо понимать слово «регистрация по месту жительства», потому что оно практичное."
354,354,urzędnik,чиновник,noun,Pojęcie „urzędnik” często pojawia się w codziennym życiu w Polsce.,Понятие «чиновник» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „urzędnik”, bo jest praktyczne.","Стоит хорошо понимать слово «чиновник», потому что оно практичное."
355,355,urząd,учреждение,noun,Pojęcie „urząd” często pojawia się w codziennym życiu w Polsce.,Понятие «учреждение» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „urząd”, bo jest praktyczne.","Стоит хорошо понимать слово «учреждение», потому что оно практичное."
356,356,rozpatrzyć,рассмотреть,noun,Pojęcie „decyzja” często pojawia się w codziennym życiu w Polsce.,Понятие «решение» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „decyzja”, bo jest praktyczne.","Стоит хорошо понимать слово «решение», потому что оно практичное."
357,357,deadline,крайний срок,noun,Pojęcie „termin” często pojawia się w codziennym życiu w Polsce.,Понятие «срок» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „termin”, bo jest praktyczne.","Стоит хорошо понимать слово «срок», потому что оно практичное."
358,358,ważność,срок действия,noun,Pojęcie „ważność” często pojawia się w codziennym życiu w Polsce.,Понятие «срок действия» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „ważność”, bo jest praktyczne.","Стоит хорошо понимать слово «срок действия», потому что оно практичное."
359,359,odnowić,обновить,verb,Warto umieć poprawnie używać wyrażenia „przedłużyć” w rozmowie.,Стоит уметь правильно использовать выражение «продлить» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
360,360,potwierdzenie,подтверждение,noun,Pojęcie „potwierdzenie” często pojawia się w codziennym życiu w Polsce.,Понятие «подтверждение» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „potwierdzenie”, bo jest praktyczne.","Стоит хорошо понимать слово «подтверждение», потому что оно практичное."
361,361,podróż,путешествие,noun,Pojęcie „podróż” często pojawia się w codziennym życiu w Polsce.,Понятие «путешествие» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „podróż”, bo jest praktyczne.","Стоит хорошо понимать слово «путешествие», потому что оно практичное."
362,362,wyjazd,"отъезд, поездка",noun,Pojęcie „wyjazd” często pojawia się w codziennym życiu w Polsce.,Понятие «отъезд» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „wyjazd”, bo jest praktyczne.","Стоит хорошо понимать слово «отъезд», потому что оно практичное."
363,363,przyjazd,приезд,noun,Pojęcie „przyjazd” często pojawia się w codziennym życiu w Polsce.,Понятие «приезд» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „przyjazd”, bo jest praktyczne.","Стоит хорошо понимать слово «приезд», потому что оно практичное."
364,364,trasa,маршрут,noun,Pojęcie „trasa” często pojawia się w codziennym życiu w Polsce.,Понятие «маршрут» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „trasa”, bo jest praktyczne.","Стоит хорошо понимать слово «маршрут», потому что оно практичное."
365,365,połączenie,"сообщение, соединение",noun,Pojęcie „połączenie” często pojawia się w codziennym życiu w Polsce.,Понятие «сообщение» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „połączenie”, bo jest praktyczne.","Стоит хорошо понимать слово «сообщение», потому что оно практичное."
366,366,przystanek,остановка,noun,Pojęcie „przystanek” często pojawia się w codziennym życiu w Polsce.,Понятие «остановка» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „przystanek”, bo jest praktyczne.","Стоит хорошо понимать слово «остановка», потому что оно практичное."
367,367,dworzec,вокзал,noun,Pojęcie „dworzec” często pojawia się w codziennym życiu w Polsce.,Понятие «вокзал» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „dworzec”, bo jest praktyczne.","Стоит хорошо понимать слово «вокзал», потому что оно практичное."
368,368,lotnisko,аэропорт,noun,Pojęcie „lotnisko” często pojawia się w codziennym życiu w Polsce.,Понятие «аэропорт» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „lotnisko”, bo jest praktyczne.","Стоит хорошо понимать слово «аэропорт», потому что оно практичное."
369,369,opóźnienie,задержка,noun,Pojęcie „opóźnienie” często pojawia się w codziennym życiu w Polsce.,Понятие «задержка» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „opóźnienie”, bo jest praktyczne.","Стоит хорошо понимать слово «задержка», потому что оно практичное."
370,370,rozkład jazdy,расписание,noun,Pojęcie „rozkład jazdy” często pojawia się w codziennym życiu w Polsce.,Понятие «расписание» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „rozkład jazdy”, bo jest praktyczne.","Стоит хорошо понимать слово «расписание», потому что оно практичное."
371,371,bilet,билет,noun,Pojęcie „bilet” często pojawia się w codziennym życiu w Polsce.,Понятие «билет» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „bilet”, bo jest praktyczne.","Стоит хорошо понимать слово «билет», потому что оно практичное."
372,372,kierowca,водитель,noun,Pojęcie „kierowca” często pojawia się w codziennym życiu w Polsce.,Понятие «водитель» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „kierowca”, bo jest praktyczne.","Стоит хорошо понимать слово «водитель», потому что оно практичное."
373,373,pasażer,пассажир,noun,Pojęcie „pasażer” często pojawia się w codziennym życiu w Polsce.,Понятие «пассажир» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „pasażer”, bo jest praktyczne.","Стоит хорошо понимать слово «пассажир», потому что оно практичное."
374,374,ruch drogowy,дорожное движение,noun,Pojęcie „ruch drogowy” często pojawia się w codziennym życiu w Polsce.,Понятие «дорожное движение» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „ruch drogowy”, bo jest praktyczne.","Стоит хорошо понимать слово «дорожное движение», потому что оно практичное."
375,375,wypadek,"авария, ДТП",noun,Pojęcie „wypadek” często pojawia się w codziennym życiu w Polsce.,Понятие «авария» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „wypadek”, bo jest praktyczne.","Стоит хорошо понимать слово «авария», потому что оно практичное."
376,376,objazd,объезд,noun,Pojęcie „objazd” często pojawia się w codziennym życiu w Polsce.,Понятие «объезд» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „objazd”, bo jest praktyczne.","Стоит хорошо понимать слово «объезд», потому что оно практичное."
377,377,parking,парковка,noun,Pojęcie „parking” często pojawia się w codziennym życiu w Polsce.,Понятие «парковка» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „parking”, bo jest praktyczne.","Стоит хорошо понимать слово «парковка», потому что оно практичное."
378,378,stacja,станция,noun,Pojęcie „stacja” często pojawia się w codziennym życiu w Polsce.,Понятие «станция» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „stacja”, bo jest praktyczne.","Стоит хорошо понимать слово «станция», потому что оно практичное."
379,379,przesiadka,пересадка,noun,Pojęcie „przesiadka” często pojawia się w codziennym życiu w Polsce.,Понятие «пересадка» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „przesiadka”, bo jest praktyczne.","Стоит хорошо понимать слово «пересадка», потому что оно практичное."
380,380,korek,пробка,noun,Pojęcie „korek” często pojawia się w codziennym życiu w Polsce.,Понятие «пробка» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „korek”, bo jest praktyczne.","Стоит хорошо понимать слово «пробка», потому что оно практичное."
381,381,zakwaterowanie,проживание,noun,Pojęcie „zakwaterowanie” często pojawia się w codziennym życiu w Polsce.,Понятие «проживание» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „zakwaterowanie”, bo jest praktyczne.","Стоит хорошо понимать слово «проживание», потому что оно практичное."
382,382,hotel,отель,noun,Pojęcie „hotel” często pojawia się w codziennym życiu w Polsce.,Понятие «отель» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „hotel”, bo jest praktyczne.","Стоит хорошо понимать слово «отель», потому что оно практичное."
383,383,rezerwacja,бронирование,noun,Pojęcie „rezerwacja” często pojawia się w codziennym życiu w Polsce.,Понятие «бронирование» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „rezerwacja”, bo jest praktyczne.","Стоит хорошо понимать слово «бронирование», потому что оно практичное."
384,384,gość,гость,noun,Pojęcie „gość” często pojawia się w codziennym życiu w Polsce.,Понятие «гость» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „gość”, bo jest praktyczne.","Стоит хорошо понимать слово «гость», потому что оно практичное."
385,385,recepcja,ресепшен,noun,Pojęcie „recepcja” często pojawia się w codziennym życiu w Polsce.,Понятие «ресепшен» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „recepcja”, bo jest praktyczne.","Стоит хорошо понимать слово «ресепшен», потому что оно практичное."
386,386,pokój,"номер, комната",noun,Pojęcie „pokój” często pojawia się w codziennym życiu w Polsce.,Понятие «номер» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „pokój”, bo jest praktyczne.","Стоит хорошо понимать слово «номер», потому что оно практичное."
387,387,nocleg,ночлег,noun,Pojęcie „nocleg” często pojawia się w codziennym życiu w Polsce.,Понятие «ночлег» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „nocleg”, bo jest praktyczne.","Стоит хорошо понимать слово «ночлег», потому что оно практичное."
388,388,nocować,ночевать,noun,Pojęcie „pobyt” często pojawia się w codziennym życiu w Polsce.,Понятие «пребывание» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „pobyt”, bo jest praktyczne.","Стоит хорошо понимать слово «пребывание», потому что оно практичное."
389,389,turysta,турист,noun,Pojęcie „turysta” często pojawia się w codziennym życiu w Polsce.,Понятие «турист» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „turysta”, bo jest praktyczne.","Стоит хорошо понимать слово «турист», потому что оно практичное."
390,390,zwiedzać,осматривать достопримечательности,verb,Warto umieć poprawnie używać wyrażenia „zwiedzać” w rozmowie.,Стоит уметь правильно использовать выражение «осматривать достопримечательности» в разговоре.,"To wyrażenie często pojawia się w pracy, dokumentach i codziennych sytuacjach.","Это выражение часто встречается на работе, в документах и повседневных ситуациях."
391,391,pogoda,погода,noun,Pojęcie „pogoda” często pojawia się w codziennym życiu w Polsce.,Понятие «погода» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „pogoda”, bo jest praktyczne.","Стоит хорошо понимать слово «погода», потому что оно практичное."
392,392,prognoza,прогноз,noun,Pojęcie „prognoza” często pojawia się w codziennym życiu w Polsce.,Понятие «прогноз» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „prognoza”, bo jest praktyczne.","Стоит хорошо понимать слово «прогноз», потому что оно практичное."
393,393,temperatura,температура,noun,Pojęcie „temperatura” często pojawia się w codziennym życiu w Polsce.,Понятие «температура» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „temperatura”, bo jest praktyczne.","Стоит хорошо понимать слово «температура», потому что оно практичное."
394,394,deszcz,дождь,noun,Pojęcie „deszcz” często pojawia się w codziennym życiu w Polsce.,Понятие «дождь» часто встречается в повседневной жизни в Польше.,"Warto dobrze rozumieć słowo „deszcz”, bo jest praktyczne.","Стоит хорошо понимать слово «дождь», потому что оно практичное."
