id,rank,polish,russian,part_of_speech,example_polish_1,example_russian_1,example_polish_2,example_russian_2,ukrainian,example_ukrainian_1,example_ukrainian_2
157,157,media,коммунальные услуги,noun,Media są rozliczane osobno.,Коммунальные услуги оплачиваются отдельно.,Zużycie mediów wzrosło w ostatnim miesiącu.,Потребление коммунальных услуг выросло в прошлом месяце.,комунальні послуги,Комунальні послуги розраховуються окремо.,Споживання комунальних послуг зросло минулого місяця.
158,158,remont,ремонт,noun,W przyszłym miesiącu planujemy remont kuchni.,В следующем месяце мы планируем ремонт кухни.,Remont potrwa około dwóch tygodni.,Ремонт продлится около двух недель.,ремонт,Наступного місяця ми плануємо ремонт кухні.,Ремонт триватиме близько двох тижнів.
159,159,przeprowadzka,переезд,noun,Przeprowadzka do nowego mieszkania była bardzo stresująca.,Переезд в новую квартиру был очень стрессовым.,Pomagaliśmy znajomym podczas przeprowadzki.,Мы помогали друзьям во время переезда.,переїзд,Переїзд до нової квартири був дуже стресовим.,Ми допомагали друзям під час переїзду.
160,160,wyposażenie,оснащение,noun,Mieszkanie jest w pełni wyposażone.,Квартира полностью оборудована.,Nowe wyposażenie biura kosztowało dużo pieniędzy.,Новое оснащение офиса стоило много денег.,обладнання,Квартира повністю обладнана.,Нове обладнання офісу коштувало багато грошей.
161,161,umowa najmu,договор аренды,noun,Przed podpisaniem umowy najmu dokładnie przeczytałem wszystkie warunki.,Перед подписанием договора аренды я внимательно прочитал все условия.,Umowa najmu została zawarta na dwa lata.,Договор аренды был заключён на два года.,договір оренди,Перед підписанням договору оренди я уважно прочитав усі умови.,Договір оренди було укладено на два роки.
162,162,nieruchomość,недвижимость,noun,Ceny nieruchomości w Warszawie są bardzo wysokie.,Цены на недвижимость в Варшаве очень высокие.,Szukamy nieruchomości w spokojnej okolicy.,Мы ищем недвижимость в спокойном районе.,нерухомість,Ціни на нерухомість у Варшаві дуже високі.,Ми шукаємо нерухомість у спокійному районі.
163,163,hipoteka,ипотека,noun,Bank zaakceptował nasz wniosek o hipotekę.,Банк одобрил нашу заявку на ипотеку.,Przed podjęciem decyzji porównaliśmy kilka ofert hipotecznych.,Перед принятием решения мы сравнили несколько ипотечных предложений.,іпотека,Банк схвалив нашу заявку на іпотеку.,Перед прийняттям рішення ми порівняли кілька іпотечних пропозицій.
164,164,zdolność kredytowa,кредитоспособность,noun,Bank sprawdza zdolność kredytową każdego klienta.,Банк проверяет кредитоспособность каждого клиента.,Nasza zdolność kredytowa wzrosła po podwyżce wynagrodzenia.,Наша кредитоспособность выросла после повышения зарплаты.,кредитоспроможність,Банк перевіряє кредитоспроможність кожного клієнта.,Наша кредитоспроможність зросла після підвищення зарплати.
165,165,zakup nieruchomości,покупка недвижимости,noun,Zakup nieruchomości to jedna z najważniejszych decyzji finansowych.,Покупка недвижимости — одно из важнейших финансовых решений.,Przed zakupem nieruchomości warto skonsultować się z doradcą.,Перед покупкой недвижимости стоит проконсультироваться со специалистом.,купівля нерухомості,Купівля нерухомості – одне з найважливіших фінансових рішень.,Перед купівлею нерухомості варто проконсультуватися з консультантом.
166,166,warunki umowy,условия договора,noun,Warunki umowy zostały dokładnie opisane w dokumencie.,Условия договора были подробно описаны в документе.,Nie zgadzam się ze wszystkimi warunkami umowy.,Я не согласен со всеми условиями договора.,умови договору,Умови договору були детально описані в документі.,Я не згоден з усіма умовами договору.
167,167,ubezpieczenie,страхование,noun,Posiadanie ubezpieczenia daje poczucie bezpieczeństwa.,Наличие страховки даёт чувство безопасности.,Bank wymaga ubezpieczenia nieruchomości.,Банк требует страхование недвижимости.,страхування,Наявність страховки дає відчуття безпеки.,Банк вимагає страхування нерухомості.
168,168,polisa,страховой полис,noun,Polisa obejmuje szkody powstałe w wyniku pożaru.,"Страховой полис покрывает ущерб, возникший в результате пожара.",Muszę przedłużyć polisę przed końcem miesiąca.,Мне нужно продлить страховой полис до конца месяца.,поліс,"Поліс покриває збитки, що виникли внаслідок пожежі.",Мені потрібно продовжити поліс до кінця місяця.
169,169,odszkodowanie,компенсация,noun,Firma wypłaciła odszkodowanie za uszkodzony sprzęt.,Компания выплатила компенсацию за повреждённое оборудование.,"Aby otrzymać odszkodowanie, trzeba złożyć odpowiedni wniosek.","Чтобы получить компенсацию, нужно подать соответствующее заявление.",відшкодування,Компанія виплатила відшкодування за пошкоджене обладнання.,"Щоб отримати відшкодування, потрібно подати відповідну заяву."
170,170,szkoda,ущерб,noun,Ubezpieczyciel ocenił wysokość szkody.,Страховая компания оценила размер ущерба.,Szkoda została zgłoszona jeszcze tego samego dnia.,Об ущербе сообщили в тот же день.,шкода,Страховик оцінив розмір шкоди.,Про шкоду було повідомлено того ж дня.
171,171,zgłoszenie,"заявка, уведомление",noun,Zgłoszenie zostało przyjęte do realizacji.,Заявка была принята к исполнению.,Po wysłaniu zgłoszenia otrzymałem numer sprawy.,После отправки заявки я получил номер дела.,заявка,Заявку було прийнято до виконання.,Після надсилання заявки я отримав номер справи.
172,172,awaria,поломка,noun,Z powodu awarii system był niedostępny przez kilka godzin.,Из-за поломки система была недоступна несколько часов.,Awaria została usunięta jeszcze tego samego dnia.,Поломка была устранена в тот же день.,аварія,Через аварію система була недоступна протягом кількох годин.,Аварію було усунено того ж дня.
173,173,naprawa,ремонт,noun,Naprawa samochodu okazała się kosztowna.,Ремонт автомобиля оказался дорогим.,Sprzęt został oddany do naprawy.,Оборудование было передано в ремонт.,ремонт,Ремонт автомобіля виявився дорогим.,Обладнання було віддано на ремонт.
174,174,obsługa klienta,служба поддержки,noun,Skontaktowałem się z obsługą klienta w sprawie reklamacji.,Я связался со службой поддержки по поводу претензии.,Obsługa klienta odpowiedziała bardzo szybko.,Служба поддержки ответила очень быстро.,служба підтримки клієнтів,Я зв'язався зі службою підтримки клієнтів щодо рекламації.,Служба підтримки клієнтів відповіла дуже швидко.
175,175,reklamacja,претензия,noun,Złożyłem reklamację dotyczącą wadliwego produktu.,Я подал претензию по поводу бракованного товара.,Reklamacja została rozpatrzona pozytywnie.,Претензия была рассмотрена положительно.,рекламація,Я подав рекламацію щодо дефектного товару.,Рекламацію було розглянуто позитивно.
176,176,zwrot towaru,возврат товара,noun,Zwrot towaru jest możliwy w ciągu czternastu dni.,Возврат товара возможен в течение четырнадцати дней.,Sklep zaakceptował zwrot towaru bez problemu.,Магазин без проблем принял возврат товара.,повернення товару,Повернення товару можливе протягом чотирнадцяти днів.,Магазин без проблем прийняв повернення товару.
177,177,gwarancja,гарантия,noun,Produkt jest objęty dwuletnią gwarancją.,На товар распространяется двухлетняя гарантия.,Przed zakupem sprawdziłem warunki gwarancji.,Перед покупкой я проверил условия гарантии.,гарантія,На товар поширюється дворічна гарантія.,Перед покупкою я перевірив умови гарантії.
178,178,dostawa,доставка,noun,Dostawa została zrealizowana wcześniej niż planowano.,Доставка была выполнена раньше запланированного срока.,Koszt dostawy zależy od wielkości zamówienia.,Стоимость доставки зависит от размера заказа.,доставка,"Доставка була здійснена раніше, ніж планувалося.",Вартість доставки залежить від розміру замовлення.
179,179,odbiór,получение,noun,Odbiór dokumentu jest możliwy od poniedziałku.,Получить документ можно с понедельника.,Potwierdź odbiór przesyłki w systemie.,Подтверди получение отправления в системе.,отримання,Отримання документа можливе з понеділка.,Підтвердьте отримання відправлення в системі.
180,180,przesyłka,"посылка, отправление",noun,Przesyłka dotarła do mnie następnego dnia.,Посылка пришла ко мне на следующий день.,Możesz śledzić przesyłkę przez internet.,Ты можешь отслеживать отправление через интернет.,відправлення,Відправлення надійшло до мене наступного дня.,Ви можете відстежувати відправлення через інтернет.
181,181,zamówienie,заказ,noun,Moje zamówienie zostało już wysłane.,Мой заказ уже был отправлен.,Numer zamówienia znajdziesz w wiadomości e-mail.,Номер заказа можно найти в электронном письме.,замовлення,Моє замовлення вже відправлено.,Номер замовлення ви знайдете в електронному листі.
182,182,dostępność,доступность,noun,Sprawdziłem dostępność produktu przed zakupem.,Я проверил наличие товара перед покупкой.,Dostępność mieszkań w tej okolicy jest ograniczona.,Доступность квартир в этом районе ограничена.,доступність,Я перевірив доступність продукту перед покупкою.,Доступність житла в цьому районі обмежена.
183,183,brak,отсутствие,noun,Brak dokumentów może opóźnić całą procedurę.,Отсутствие документов может задержать всю процедуру.,Powodem odmowy był brak wymaganych załączników.,Причиной отказа стало отсутствие необходимых приложений.,відсутність,Відсутність документів може затримати всю процедуру.,Причиною відмови була відсутність необхідних додатків.
184,184,nadwyżka,излишек,noun,Firma osiągnęła nadwyżkę budżetową.,Компания получила бюджетный профицит.,Nadwyżkę środków przeznaczono na rozwój projektu.,Излишек средств направили на развитие проекта.,надлишок,Компанія досягла профіциту бюджету.,Надлишок коштів було спрямовано на розвиток проєкту.
185,185,niedobór,нехватка,noun,Na rynku występuje niedobór specjalistów IT.,На рынке наблюдается нехватка IT-специалистов.,Niedobór pracowników wpływa na tempo realizacji projektów.,Нехватка сотрудников влияет на скорость выполнения проектов.,нестача,На ринку спостерігається нестача IT-фахівців.,Нестача працівників впливає на темпи реалізації проєктів.
186,186,środowisko,среда,noun,Pracuję w międzynarodowym środowisku.,Я работаю в международной среде.,Dobre środowisko pracy zwiększa motywację pracowników.,Хорошая рабочая среда повышает мотивацию сотрудников.,середовище,Я працюю в міжнародному середовищі.,Гарне робоче середовище підвищує мотивацію працівників.
187,187,otoczenie,окружение,noun,Nowe otoczenie pomogło mi szybciej nauczyć się języka.,Новое окружение помогло мне быстрее выучить язык.,Dzieci rozwijają się pod wpływem swojego otoczenia.,Дети развиваются под влиянием своего окружения.,оточення,Нове оточення допомогло мені швидше вивчити мову.,Діти розвиваються під впливом свого оточення.
188,188,warunki życia,условия жизни,noun,Warunki życia w dużych miastach są bardzo różne.,Условия жизни в крупных городах очень различаются.,Przeprowadzili się do Polski w poszukiwaniu lepszych warunków życia.,Они переехали в Польшу в поисках лучших условий жизни.,умови життя,Умови життя у великих містах дуже різні.,Вони переїхали до Польщі в пошуках кращих умов життя.
189,189,jakość życia,качество жизни,noun,Regularny ruch poprawia jakość życia.,Регулярная физическая активность улучшает качество жизни.,Dla wielu osób bezpieczeństwo wpływa na jakość życia.,Для многих людей безопасность влияет на качество жизни.,якість життя,Регулярний рух покращує якість життя.,Для багатьох людей безпека впливає на якість життя.
190,190,stabilność,стабильность,noun,Stabilność finansowa daje poczucie bezpieczeństwa.,Финансовая стабильность даёт чувство безопасности.,Firma stawia na długoterminową stabilność.,Компания делает ставку на долгосрочную стабильность.,стабільність,Фінансова стабільність дає відчуття безпеки.,Компанія робить ставку на довгострокову стабільність.
191,191,bezpieczeństwo,безопасность,noun,Bezpieczeństwo danych jest dla nas priorytetem.,Безопасность данных является для нас приоритетом.,Rodzice dbają o bezpieczeństwo swoich dzieci.,Родители заботятся о безопасности своих детей.,безпека,Безпека даних є для нас пріоритетом.,Батьки дбають про безпеку своїх дітей.
192,192,ryzyko,риск,noun,Każda inwestycja wiąże się z pewnym ryzykiem.,Любая инвестиция связана с определённым риском.,Musimy ocenić ryzyko przed podjęciem decyzji.,Мы должны оценить риск перед принятием решения.,ризик,Кожна інвестиція пов'язана з певним ризиком.,Ми повинні оцінити ризик перед прийняттям рішення.
193,193,zagrożenie,угроза,noun,Eksperci ostrzegają przed nowymi zagrożeniami w sieci.,Эксперты предупреждают о новых угрозах в интернете.,Pożar stanowił zagrożenie dla mieszkańców budynku.,Пожар представлял угрозу для жителей здания.,загроза,Експерти попереджають про нові загрози в мережі.,Пожежа становила загрозу для мешканців будівлі.
194,194,ochrona,защита,noun,Ochrona danych osobowych jest regulowana przez prawo.,Защита персональных данных регулируется законом.,Firma inwestuje w ochronę swoich systemów.,Компания инвестирует в защиту своих систем.,захист,Захист персональних даних регулюється законом.,Компанія інвестує в захист своїх систем.
195,195,odpowiedni,подходящий,adjective,Musimy znaleźć odpowiednie rozwiązanie tego problemu.,Мы должны найти подходящее решение этой проблемы.,To nie jest odpowiedni moment na taką rozmowę.,Сейчас не самый подходящий момент для такого разговора.,відповідний,Ми повинні знайти відповідне вирішення цієї проблеми.,Це невідповідний момент для такої розмови.
196,196,skuteczny,эффективный,adjective,To bardzo skuteczna metoda nauki języka.,Это очень эффективный метод изучения языка.,Firma wdrożyła skuteczne procedury bezpieczeństwa.,Компания внедрила эффективные процедуры безопасности.,ефективний,Це дуже ефективний метод вивчення мови.,Компанія впровадила ефективні процедури безпеки.
197,197,niezbędny,необходимый,adjective,Paszport jest niezbędny podczas podróży zagranicznej.,Паспорт необходим во время поездок за границу.,Do złożenia wniosku potrzebne są wszystkie niezbędne dokumenty.,Для подачи заявления нужны все необходимые документы.,необхідний,Паспорт є необхідним під час закордонної подорожі.,Для подання заяви потрібні всі необхідні документи.
198,198,istotny,"существенный, важny",adjective,To istotny element całego projektu.,Это важный элемент всего проекта.,Zmiana przepisów miała istotny wpływ na firmę.,Изменение законодательства оказало существенное влияние на компанию.,суттєвий,Це суттєвий елемент всього проєкту.,Зміна правил мала суттєвий вплив на компанію.
199,199,dostępny,доступный,adjective,Produkt jest już dostępny w sprzedaży.,Товар уже доступен в продаже.,Wszystkie informacje są dostępne na stronie internetowej.,Вся информация доступна на сайте.,доступний,Продукт вже доступний у продажу.,Вся інформація доступна на вебсайті.
200,200,korzystny,выгодный,adjective,To bardzo korzystna oferta kredytowa.,Это очень выгодное кредитное предложение.,Zmiana okazała się korzystna dla obu stron.,Изменение оказалось выгодным для обеих сторон.,вигідний,Це дуже вигідна кредитна пропозиція.,Зміна виявилася вигідною для обох сторін.
201,201,opinia,мнение,noun,Jaka jest pana opinia na temat tego projektu?,Каково ваше мнение об этом проекте?,Lekarz wydał pozytywną opinię o moim stanie zdrowia.,Врач дал положительное заключение о состоянии моего здоровья.,думка,Яка ваша думка щодо цього проєкту?,Лікар видав позитивний висновок про стан мого здоров'я.
202,202,wrażenie,впечатление,noun,Jakie masz wrażenia po pierwszej wizycie w Polsce?,Какие у тебя впечатления после первого визита в Польшу?,Nowy szef zrobił na mnie bardzo dobre wrażenie.,Новый начальник произвел на меня очень хорошее впечатление.,враження,Які у тебе враження після першого візиту до Польщі?,Новий керівник справив на мене дуже гарне враження.
203,203,pogląd,"взгляд, точка зрения",noun,"Mamy różne poglądy na politykę, ale szanujemy się nawzajem.","У нас разные взгляды на политику, но мы уважаем друг друга.",Przedstawiłem swoje poglądy na temat przyszłości firmy.,Я представил свои взгляды на будущее компании.,погляд,"У нас різні погляди на політику, але ми поважаємо одне одного.",Я представив свої погляди на майбутнє компанії.
204,204,dyskusja,обсуждение,noun,Po spotkaniu odbyła się długa dyskusja o budżecie.,После встречи состоялась долгая дискуссия о бюджете.,Unikam dyskusji na tematy religijne w pracy.,Я избегаю дискуссий на религиозные темы на работе.,дискусія,Після зустрічі відбулася довга дискусія про бюджет.,Я уникаю дискусій на релігійні теми на роботі.
205,205,rozmówca,собеседник,noun,Mój rozmówca był bardzo miły i pomocny.,Мой собеседник был очень мил и отзывчив.,"Ważne jest, aby słuchać swojego rozmówcy z uwagą.",Важно внимательно слушать своего собеседника.,співрозмовник,Мій співрозмовник був дуже милий і корисний.,Важливо уважно слухати свого співрозмовника.
206,206,przekonanie,убеждение,noun,"Mam głębokie przekonanie, że wszystko będzie dobrze.","У меня глубокое убеждение, что все будет хорошо.",Działał zgodnie ze swoimi przekonaniami etycznymi.,Он действовал в соответствии со своими этическими убеждениями.,переконання,"У мене глибоке переконання, що все буде добре.",Він діяв відповідно до своїх етичних переконань.
207,207,zaufanie,доверие,noun,Zbudowanie zaufania w zespole jest kluczowe.,Построение доверия в команде является ключевым.,Mam pełne zaufanie do mojego lekarza.,Я полностью доверяю своему врачу.,довіра,Побудова довіри в команді є ключовою.,Я маю повну довіру до свого лікаря.
208,208,szacunek,уважение,noun,Okazuję szacunek starszym osobom.,Я проявляю уважение к пожилым людям.,Szacunek do klienta to podstawa w naszej firmie.,Уважение к клиенту — основа в нашей компании.,повага,Я виявляю повагу до літніх людей.,Повага до клієнта — основа в нашій компанії.
209,209,wsparcie,поддержка,noun,Dziękuję za twoje wsparcie w trudnych chwilach.,Спасибо за твою поддержку в трудные моменты.,Potrzebuję wsparcia technicznego przy instalacji programu.,Мне нужна техническая поддержка при установке программы.,підтримка,Дякую за твою підтримку у важкі часи.,Мені потрібна технічна підтримка при встановленні програми.
210,210,porozumienie,"соглашение, понимание",noun,Osiągnęliśmy porozumienie w sprawie warunków umowy.,Мы достигли соглашения по условиям договора.,Między nami panuje pełne porozumienie.,Между нами царит полное взаимопонимание.,порозуміння,Ми досягли порозуміння щодо умов договору.,Між нами панує повне порозуміння.
211,211,konflikt,конфликт,noun,Mamy konflikt interesów w tej sprawie.,У нас конфликт интересов по этому вопросу.,Unikajmy otwartego konfliktu z sąsiadami.,Давайте избегать открытого конфликта с соседями.,конфлікт,У нас конфлікт інтересів у цій справі.,Уникаймо відкритого конфлікту з сусідами.
212,212,nieporozumienie,недоразумение,noun,"To było tylko nieporozumienie, już wszystko wyjaśniliśmy.","Это было всего лишь недоразумение, мы уже всё объяснили.","Przepraszam za nieporozumienie, źle zrozumiałem instrukcje.","Извините за недоразумение, я неправильно понял инструкции.",непорозуміння,"Це було лише непорозуміння, ми вже все з'ясували.","Перепрошую за непорозуміння, я неправильно зрозумів інструкції."
213,213,zachęcać,поощрять,verb,Lekarz zachęca pacjentów do regularnej aktywności fizycznej.,Врач поощряет пациентов к регулярной физической активности.,Szef zachęca pracowników do zgłaszania nowych pomysłów.,Начальник поощряет сотрудников предлагать новые идеи.,заохочувати,Лікар заохочує пацієнтів до регулярної фізичної активності.,Керівник заохочує працівників подавати нові ідеї.
214,214,odradzać,отговаривать,verb,"Odradzam kupowanie tego modelu samochodu, ma dużo usterek.","Я отговариваю от покупки этой модели автомобиля, у неё много поломок.",Rodzice odradzali mi wyjazd za granicę bez znajomości języka.,Родители отговаривали меня от поездки за границу без знания языка.,відраджувати,"Я відраджую купувати цю модель автомобіля, вона має багато несправностей.",Батьки відраджували мені їхати за кордон без знання мови.
215,215,wyrażać,выражать,verb,Chciałbym wyrazić moją wdzięczność za pomoc.,Я хотел бы выразить свою благодарность за помощь.,"Trudno mi wyrazić słowami, co czuję.","Мне трудно выразить словами, что я чувствую.",виражати,Я хотів би висловити свою вдячність за допомогу.,"Мені важко висловити словами, що я відчуваю."
216,216,podkreślać,подчёркивать,verb,"Chciałbym podkreślić, jak ważna jest terminowość.","Я хотел бы подчеркнуть, как важна своевременность.","Nauczyciel podkreślał, żebyśmy dokładnie czytali zadania.","Учитель подчёркивал, чтобы мы внимательно читали задания.",підкреслювати,"Я хотів би підкреслити, наскільки важливою є своєчасність.","Вчитель підкреслював, щоб ми уважно читали завдання."
217,217,twierdzić,утверждать,verb,"On twierdzi, że nigdy nie widział tego dokumentu.","Он утверждает, что никогда не видел этого документа.","Policja twierdzi, że ma dowody w tej sprawie.","Полиция утверждает, что у неё есть доказательства по этому делу.",стверджувати,"Він стверджує, що ніколи не бачив цього документа.","Поліція стверджує, що має докази у цій справі."
218,218,przyznać się,признаться,verb,"Muszę przyznać się do błędu, źle wypełniłem formularz.","Я должен признаться в ошибке, я неправильно заполнил форму.",Nikt nie chciał przyznać się do winy.,Никто не хотел признаваться в вине.,зізнатися,"Мушу зізнатися у помилці, я неправильно заповнив форму.",Ніхто не хотів зізнаватися у провині.
219,219,zgadzać się,соглашаться,verb,Zgadzam się z twoją opinią w tej kwestii.,Я согласен с твоим мнением по этому вопросу.,Czy zgadzasz się na warunki umowy?,Вы согласны с условиями договора?,погоджуватися,Я погоджуюся з твоєю думкою щодо цього питання.,Чи погоджуєтеся ви на умови договору?
220,220,sprzeciwiać się,возражать,verb,Nie mogę się sprzeciwiać decyzji zarządu.,Я не могу возражать против решения правления.,Wielu mieszkańców sprzeciwia się budowie nowej drogi.,Многие жители возражают против строительства новой дороги.,заперечувати,Я не можу заперечувати проти рішення правління.,Багато мешканців заперечують проти будівництва нової дороги.
221,221,emocja,эмоция,noun,Silne emocje utrudniają logiczne myślenie podczas egzaminu.,Сильные эмоции затрудняют логическое мышление во время экзамена.,"Ważne jest, aby umieć kontrolować swoje emocje w pracy.",Важно уметь контролировать свои эмоции на работе.,емоція,Сильні емоції ускладнюють логічне мислення під час іспиту.,Важливо вміти контролювати свої емоції на роботі.
222,222,nastrój,настроение,noun,"Dziś mam dobry nastrój, więc chętnie pomogę w kuchni.","Сегодня у меня хорошее настроение, поэтому я с удовольствием помогу на кухне.",Zła pogoda często wpływa na mój nastrój.,Плохая погода часто влияет на мое настроение.,настрій,"Сьогодні у мене гарний настрій, тому я охоче допоможу на кухні.",Погана погода часто впливає на мій настрій.
223,223,stres,стресс,noun,Przed rozmową kwalifikacyjną odczuwam duży stres.,Перед собеседованием я испытываю сильный стресс.,Staram się unikać stresu w codziennym życiu.,Я стараюсь избегать стресса в повседневной жизни.,стрес,Перед співбесідою я відчуваю великий стрес.,Я намагаюся уникати стресу в повсякденному житті.
224,224,presja,давление,noun,"Czuję dużą presję czasu, muszę skończyć projekt do jutra.","Я чувствую сильное давление времени, мне нужно закончить проект до завтра.",Nie lubię pracować pod presją.,Я не люблю работать под давлением.,тиск,"Я відчуваю великий тиск часу, мені потрібно закінчити проєкт до завтра.",Я не люблю працювати під тиском.
225,225,motywacja,мотивация,noun,"Potrzebuję silnej motywacji, żeby zacząć uczyć się polskiego.","Мне нужна сильная мотивация, чтобы начать учить польский.",Jego motywacja do pracy jest imponująca.,Его мотивация к работе впечатляет.,мотивація,"Мені потрібна сильна мотивація, щоб почати вивчати польську.",Його мотивація до роботи вражає.
226,226,pewność siebie,уверенность в себе,noun,Brak pewności siebie może utrudniać znalezienie pracy.,Отсутствие уверенности в себе может затруднить поиск работы.,Po kursie językowym zyskałem większą pewność siebie w rozmowach.,После языкового курса я обрел большую уверенность в себе в разговорах.,впевненість у собі,Брак впевненості в собі може ускладнити пошук роботи.,Після мовного курсу я набув більшої впевненості в собі в розмовах.
227,227,wątpliwość,сомнение,noun,"Mam wątpliwości, czy dobrze wypełniłem ten formularz.","У меня есть сомнения, правильно ли я заполнил эту форму.","Nie ma wątpliwości, że to najlepsze rozwiązanie.","Нет сомнений, что это лучшее решение.",сумнів,"У мене є сумніви, чи правильно я заповнив цю форму.","Немає сумнівів, що це найкраще рішення."
228,228,rozczarowanie,разочарование,noun,Wyniki egzaminu były dla mnie dużym rozczarowaniem.,Результаты экзамена были для меня большим разочарованием.,"Nie chcę sprawić ci rozczarowania, ale nie mogę przyjść.","Я не хочу тебя разочаровывать, но я не могу прийти.",розчарування,Результати іспиту були для мене великим розчаруванням.,"Я не хочу тебе розчарувати, але я не можу прийти."
229,229,satysfakcja,удовлетворение,noun,Ukończenie trudnego zadania daje mi dużą satysfakcję.,Завершение сложной задачи приносит мне большое удовлетворение.,"Jestem zadowolony z pracy, odczuwam satysfakcję.","Я доволен работой, испытываю удовлетворение.",задоволення,Завершення складного завдання приносить мені велике задоволення.,"Я задоволений роботою, відчуваю задоволення."
230,230,wdzięczność,благодарность,noun,Chciałbym wyrazić moją wdzięczność za twoją pomoc.,Я хотел бы выразить свою благодарность за твою помощь.,"Odczuwam ogromną wdzięczność za wsparcie, które otrzymałem.",Я испытываю огромную благодарность за полученную поддержку.,вдячність,Я хотів би висловити свою вдячність за твою допомогу.,"Я відчуваю величезну вдячність за підтримку, яку отримав."
231,231,uczciwy,честный,adjective,Szukamy uczciwego pracownika do obsługi klienta.,Мы ищем честного сотрудника для обслуживания клиентов.,Zawsze staram się być uczciwy w relacjach z sąsiadami.,Я всегда стараюсь быть честным в отношениях с соседями.,чесний,Ми шукаємо чесного працівника для обслуговування клієнтів.,Я завжди намагаюся бути чесним у стосунках із сусідами.
232,232,odpowiedzialny,ответственный,adjective,Potrzebujemy kogoś odpowiedzialnego do opieki nad dziećmi.,Нам нужен кто-то ответственный для ухода за детьми.,Jestem odpowiedzialny za przygotowanie raportu do urzędu.,Я ответственен за подготовку отчета для ведомства.,відповідальний,Нам потрібен хтось відповідальний для догляду за дітьми.,Я відповідальний за підготовку звіту для установи.
233,233,cierpliwy,терпеливый,adjective,Lekarz był bardzo cierpliwy i wszystko mi wytłumaczył.,Врач был очень терпеливым и все мне объяснил.,"Musisz być cierpliwy, kiedy uczysz się nowego języka.","Ты должен быть терпеливым, когда учишь новый язык.",терплячий,Лікар був дуже терплячим і все мені пояснив.,"Ти мусиш бути терплячим, коли вивчаєш нову мову."
234,234,ambitny,амбициозный,adjective,On jest bardzo ambitnym pracownikiem i zawsze dąży do awansu.,Он очень амбициозный сотрудник и всегда стремится к повышению.,"Mam ambitne plany na ten rok, chcę nauczyć się polskiego i znaleźć lepszą pracę.","У меня амбициозные планы на этот год, я хочу выучить польский и найти лучшую работу.",амбітний,Він дуже амбітний працівник і завжди прагне до підвищення.,"У мене амбітні плани на цей рік, я хочу вивчити польську та знайти кращу роботу."
235,235,życzliwy,доброжелательный,adjective,Pani w urzędzie była bardzo życzliwa i pomogła mi wypełnić dokumenty.,Женщина в учреждении была очень доброжелательна и помогла мне заполнить документы.,"Mamy życzliwych sąsiadów, którzy zawsze chętnie pomogą.","У нас доброжелательные соседи, которые всегда рады помочь.",доброзичливий,Пані в установі була дуже доброзичлива і допомогла мені заповнити документи.,"У нас доброзичливі сусіди, які завжди раді допомогти."
236,236,uparty,упрямый,adjective,"Mój syn jest bardzo uparty, trudno go przekonać do zmiany zdania.","Мой сын очень упрямый, его трудно убедить изменить мнение.","Mamy uparty problem z tą maszyną, musimy wezwać serwis.","У нас упрямая проблема с этой машиной, нам нужно вызвать сервис.",упертий,"Мій син дуже впертий, його важко переконати змінити думку.","У нас уперта проблема з цією машиною, нам потрібно викликати сервіс."
237,237,wrażliwy,чувствительный,adjective,"Mam wrażliwe zęby, więc używam specjalnej pasty.","У меня чувствительные зубы, поэтому я использую специальную пасту.","Jestem wrażliwy na krytykę, ale staram się nad tym pracować.","Я чувствителен к критике, но стараюсь над этим работать.",чутливий,"У мене чутливі зуби, тому я використовую спеціальну пасту.","Я чутливий до критики, але намагаюся над цим працювати."
238,238,pewny,уверенный,adjective,"Czy jest pan pewny, że to jest właściwy formularz?","Вы уверены, что это правильная форма?",Jestem pewny swoich umiejętności i chętnie podejmę nowe wyzwania.,Я уверен в своих навыках и охотно приму новые вызовы.,впевнений,"Ви впевнені, що це правильна форма?",Я впевнений у своїх навичках і охоче прийму нові виклики.
239,239,szczery,искренний,adjective,"Był bardzo szczery w swojej opinii, co doceniam.","Он был очень искренен в своем мнении, что я ценю.","Potrzebuję szczerej odpowiedzi, czy mogę liczyć na tę pracę.","Мне нужен честный ответ, могу ли я рассчитывать на эту работу.",щирий,"Він був дуже щирий у своїй думці, що я ціную.","Мені потрібна щира відповідь, чи можу я розраховувати на цю роботу."
240,240,spokojny,спокойный,adjective,Proszę zachować spokój podczas ewakuacji.,"Пожалуйста, сохраняйте спокойствие во время эвакуации.",Po pracy lubię spędzać spokojny wieczór w domu.,После работы я люблю проводить спокойный вечер дома.,спокійний,"Будь ласка, зберігайте спокій під час евакуації.",Після роботи я люблю проводити спокійний вечір вдома.
